Secondary Name,Primary Name
רבי יוסי בן עקיבה(1720),רבי איסי בן עקיבא(548)
רבי יוסי בן פזי(1721),רבי יהודה בריה דרבי שמעון בן פזי(1493)
רבי יוסי בן פרטס(1724),רבי יוסי בן פטרס(1722)
רבי יוסי בר קסריי(1727),רבי יוסה בר קצריי(1728)
רבי יסא בי רבי שבתי(1732),רבי אסי(535)
רבי יוסה בריה דרבי תנחום דכפר אגין(1734),רבי יהושע בר תנחום ברבי חייא דכפר אגין(1557)
רבי יוסי דקיסרין(1739),רבי נסא דקיסרין(2320)
יוסי הבבלי(1741),רבי איסי בן עקיבא(548)
יוסי הפינוס(1748),יוסף חפני(1788)
יוסי הפרתים(1749),יוסף אפרתי(1767)
רבי יוסי חסידא(1751),רבי יוסי החסיד(1743)
רב יוסי מנהרביל(1754),רב אסי מנהרביל(552)
יוסף בן קמחית(1763),יהודה בן קמחית(1393)
יוסף איש הוצל(1766),רבי איסי בן עקיבא(548)
יוסף בר חנין(1773),רב יוסף בר חבו(1771)
רב יוסף בריה דרב שמואל(1782),רב יוסף בר שמעיה(1784)
יוסף הבבלי(1785),רבי איסי בן עקיבא(548)
רב יוסף צידוני(1790),רבי יוסי ציידניא(1758)
יחזקיה(1798),חזקיה בן רבי חייא(1075)
רב ייבא בר יוסי(1800),רבה בר יוסף(2606)
יילא(1803),רבי אילעאי(368)
רב יימר מדפתי(1808),רב ירמיה מדיפתי(1965)
רב יימר סבא(1809),רב ייבא סבא(1802)
בית ינאי(1812),רבי ינאי רבה(1814)
רב ינאי אחוה דרבי חייא בר אבא(1816),רבנאי אחוה דרבי חייא בר אבא(2658)
רבי ינאי בר נחמני(1820),רבי שמואל בר נחמני(2800)
רבי ינאי ברבי(1822),רבן גמליאל בר רבי(830)
רבי ינאי סבא(1826),רבי ינאי רבה(1814)
יעקב איש כפר גבוריא(1835),יעקב איש כפר נבורייא(1837)
רבי יעקב ברבי אבהו(1842),רבי יעקב בי רבי בון(1845)
רבי יעקב בר אבוי(1844),רבי יעקב בר אביי(1847)
רבי יעקב בר אבונא(1846),רבי יעקב בי רבי בון(1845)
רבי יעקב בר אדא(1849),רבי יעקב בר אבא(1840)
רב יעקב ברה דבת שמואל(1859),רבי יעקב בריה דבת יעקב(1858)
רבי יעקב ברבי יהודה(1863),רבי יעקב ברבי יוחי(1864)
רבי יעקב בר רב יצחק(1866),רבי שמואל בר רב יצחק(2795)
רבי יצחק איש כפר עכו(1886),רבי יצחק עטושיא(1943)
רבי יצחק בן אלעא(1898),רבי יצחק בן אלעזר(1899)
רבי יצחק בר גיורי(1906),רבי יצחק בר יעקב בר גיורי(1916)
רבי יצחק בריה דרבי הוה כתובה(1907),רבי יצחק בריה דרבי חייא כתובה(1910)
רבי יצחק בר כהנא(1917),רבי יצחק בר ביסנא(1903)
רבי יצחק בר מרי(1918),רבי יצחק קסקסאה(1945)
רבי יצחק בר נפחא(1923),רבי יצחק(1885)
רב יצחק בר נפתלי(1924),רב יעקב בר נפתלי(1869)
רב יצחק ברבי(1933),רב יצחק בר יוסף(1915)
רבי יצחק דבי רבי אמי(1934),רב יצחק בר אמי(1901)
רבי יצחק חיננא בר יצחק(1938),רבי חננא בר יצחק(1258)
יצחק סומקא(1941),רב יצחק בר יוסף(1915)
רבי ירמיה בר אחא(1956),רב ירמיה בר אבא(1954)
רבי ירמיה בר חנינה(1959),רבי יוסי ברבי חנינא(1689)
רבי ירמיה בר תחליפא(1962),רבי ירמיה(1952)
רבי ירמיה דשבשתא(1963),רבי ירמיה שיבשב(1968)
רבי ירמיה כהנא(1964),רבי ירמיה(1952)
רבי ירמיה רבה(1967),רבי ירמיה(1952)
רבי ישמעאל בר אבא(1976),רבי שמעון בר אבא(2839)
רבי ישמעאל בר אוניא(1977),רבי שמואל בר איניא(2776)
רבי ישמעאל בן אלעזר(1980),רבי שמעון בן אלעזר(2846)
רבי ישמעאל בר אמי(1982),רבי שמואל בר אמי(2779)
רבי ישמעאל בן זירוד(1983),רבי שמעון בן זירוד(2858)
רבי ישמעאל בן יהוצדק(1984),רבי שמעון בן יהוצדק(2865)
רבי ישמעאל בן יעקב דמן צור(1988),רבי שמעון בן יעקב דמן צור(2873)
רבי ישמעאל בר רב יצחק(1989),רבי שמואל בר רב יצחק(2795)
